amfi_code,hhi_index,portfolio_type
119551,0.1187,Highly Diversified
119552,0.108,Highly Diversified
119598,0.1073,Highly Diversified
119599,0.1748,Moderately Diversified
100016,0.1395,Highly Diversified
125497,0.1366,Highly Diversified
100033,0.1476,Highly Diversified
125498,0.1524,Moderately Diversified
120503,0.1409,Highly Diversified
120504,0.1087,Highly Diversified
120505,0.1576,Moderately Diversified
120506,0.1538,Moderately Diversified
118632,0.1683,Moderately Diversified
118633,0.1215,Highly Diversified
118634,0.1084,Highly Diversified
118635,0.1359,Highly Diversified
120841,0.1497,Highly Diversified
120842,0.1274,Highly Diversified
120843,0.1287,Highly Diversified
119092,0.2064,Moderately Diversified
119093,0.1309,Highly Diversified
119094,0.1364,Highly Diversified
119095,0.1096,Highly Diversified
101206,0.1293,Highly Diversified
101207,0.2007,Moderately Diversified
102885,0.1747,Moderately Diversified
102886,0.1147,Highly Diversified
102887,0.1298,Highly Diversified
148567,0.1386,Highly Diversified
148568,0.1679,Moderately Diversified
148569,0.1494,Highly Diversified
149322,0.1344,Highly Diversified
149323,0.1416,Highly Diversified
149324,0.1187,Highly Diversified
